Sol Mercurio Venus Tierra Marte Jupiter Saturno Urano Neptuno Pluton
0.003439 0.361504 0.699425 0.188906 1.395203 -5.381678 -1.973678 18.375504 28.318510 9.598992 
0.003416 0.239711 0.625012 0.029686 1.387090 -5.371192 -1.926499 18.361244 28.327637 9.627119 
0.003393 -0.029858 0.510290 -0.130216 1.366532 -5.359890 -1.879273 18.346928 28.336737 9.655239 
0.003369 -0.283260 0.362682 -0.286653 1.333895 -5.347774 -1.832001 18.332554 28.345810 9.683353 
0.003344 -0.445173 0.191818 -0.435578 1.289663 -5.334844 -1.784685 18.318123 28.354858 9.711461 
0.003318 -0.505548 0.008817 -0.573161 1.234426 -5.321103 -1.737325 18.303635 28.363880 9.739562 
0.003292 -0.472364 -0.174536 -0.695913 1.168866 -5.306553 -1.689924 18.289091 28.372875 9.767656 
0.003265 -0.357883 -0.346626 -0.800778 1.093736 -5.291197 -1.642481 18.274490 28.381845 9.795744 
0.003236 -0.177965 -0.496778 -0.885219 1.009850 -5.275037 -1.594998 18.259832 28.390789 9.823825 
0.003207 0.041766 -0.615913 -0.947275 0.918066 -5.258075 -1.547477 18.245117 28.399706 9.851899 
0.003177 0.249719 -0.697044 -0.985601 0.819272 -5.240314 -1.499918 18.230345 28.408598 9.879967 
0.003146 0.343059 -0.735602 -0.999480 0.714374 -5.221756 -1.452322 18.215515 28.417463 9.908028 
0.003114 0.225530 -0.729611 -0.988820 0.604282 -5.202405 -1.404692 18.200630 28.426302 9.936082 
0.003082 -0.013092 -0.679707 -0.954131 0.489906 -5.182263 -1.357027 18.185688 28.435116 9.964129 
0.003048 -0.245853 -0.589042 -0.896488 0.372142 -5.161334 -1.309330 18.170689 28.443903 9.992170 
0.003013 -0.416912 -0.463081 -0.817487 0.251870 -5.139619 -1.261600 18.155632 28.452663 10.020205 
0.002978 -0.506961 -0.309302 -0.719183 0.129945 -5.117123 -1.213840 18.140520 28.461397 10.048232 
0.002941 -0.509230 -0.136815 -0.604032 0.007196 -5.093848 -1.166051 18.125351 28.470106 10.076253 
0.002904 -0.421740 0.044094 -0.474827 -0.115580 -5.069799 -1.118234 18.110125 28.478788 10.104267 
0.002866 -0.247717 0.222500 -0.334631 -0.237621 -5.044978 -1.070389 18.094843 28.487444 10.132275 
0.002827 -0.005558 0.387432 -0.186709 -0.358195 -5.019389 -1.022519 18.079504 28.496073 10.160275 
0.002788 0.240019 0.528521 -0.034465 -0.476610 -4.993036 -0.974624 18.064110 28.504677 10.188270 
0.002748 0.345901 0.636668 0.118626 -0.592208 -4.965923 -0.926705 18.048658 28.513254 10.216257 
0.002707 0.248162 0.704682 0.269081 -0.704367 -4.938053 -0.878764 18.033150 28.521805 10.244238 
0.002666 0.048907 0.727844 0.413472 -0.812501 -4.909431 -0.830801 18.017586 28.530329 10.272212 
0.002624 -0.163075 0.704323 0.548492 -0.916059 -4.880060 -0.782819 18.001965 28.538828 10.300179 
0.002582 -0.341035 0.635396 0.671013 -1.014525 -4.849946 -0.734818 17.986288 28.547300 10.328139 
0.002539 -0.458596 0.525414 0.778150 -1.107416 -4.819091 -0.686798 17.970556 28.555746 10.356092 
0.002495 -0.496884 0.381518 0.867324 -1.194282 -4.787501 -0.638763 17.954767 28.564165 10.384039 
0.002451 -0.439395 0.213113 0.936316 -1.274707 -4.755180 -0.590712 17.938923 28.572559 10.411979 
0.002407 -0.273511 0.031161 0.983330 -1.348306 -4.722132 -0.542647 17.923021 28.580927 10.439911 
0.002361 -0.009036 -0.152625 1.007044 -1.414724 -4.688363 -0.494568 17.907064 28.589268 10.467836 
0.002315 0.261575 -0.326617 1.006659 -1.473639 -4.653877 -0.446478 17.891052 28.597582 10.495755 
0.002269 0.370865 -0.480037 0.981935 -1.524757 -4.618679 -0.398378 17.874983 28.605871 10.523667 
0.002221 0.306424 -0.603613 0.933224 -1.567817 -4.582774 -0.350267 17.858858 28.614134 10.551572 
0.002173 0.147822 -0.690089 0.861487 -1.602586 -4.546167 -0.302148 17.842678 28.622370 10.579470 
0.002125 -0.043071 -0.734564 0.768288 -1.628864 -4.508863 -0.254023 17.826441 28.630579 10.607361 
0.002075 -0.225740 -0.734689 0.655780 -1.646481 -4.470869 -0.205891 17.810148 28.638762 10.635244 
0.002025 -0.369475 -0.690709 0.526662 -1.655299 -4.432188 -0.157754 17.793800 28.646919 10.663121 
0.001974 -0.445218 -0.605398 0.384119 -1.655212 -4.392826 -0.109613 17.777397 28.655050 10.690991 
0.001923 -0.420647 -0.483877 0.231742 -1.646149 -4.352790 -0.061470 17.760939 28.663155 10.718854 
0.001871 -0.262992 -0.333340 0.073426 -1.628075 -4.312084 -0.013326 17.744423 28.671232 10.746710 
0.001818 0.021727 -0.162695 -0.086745 -1.600991 -4.270715 0.034818 17.727852 28.679283 10.774558 
0.001764 0.294018 0.017884 -0.244619 -1.564937 -4.228689 0.082962 17.711226 28.687307 10.802400 
0.001710 0.411314 0.197480 -0.396111 -1.519995 -4.186010 0.131103 17.694544 28.695307 10.830234 
0.001655 0.384886 0.365035 -0.537322 -1.466289 -4.142686 0.179241 17.677807 28.703279 10.858061 
0.001600 0.265691 0.510005 -0.664664 -1.403992 -4.098723 0.227375 17.661015 28.711226 10.885880 
0.001544 0.096214 0.623034 -0.774957 -1.333322 -4.054127 0.275502 17.644167 28.719145 10.913693 
0.001487 -0.089513 0.696622 -0.865518 -1.254553 -4.008904 0.323623 17.627264 28.727037 10.941499 
0.001430 -0.259177 0.725706 -0.934227 -1.168010 -3.963061 0.371736 17.610306 28.734903 10.969297 
0.001373 -0.374794 0.708096 -0.979564 -1.074080 -3.916604 0.419840 17.593292 28.742743 10.997088 
0.001315 -0.385223 0.644714 -1.000637 -0.973208 -3.869539 0.467934 17.576223 28.750557 11.024873 
0.001256 -0.232759 0.539583 -0.997175 -0.865903 -3.821875 0.516016 17.559099 28.758345 11.052649 
0.001197 0.059853 0.399555 -0.969513 -0.752741 -3.773617 0.564085 17.541920 28.766106 11.080420 
0.001137 0.318290 0.233798 -0.918563 -0.634366 -3.724773 0.612140 17.524687 28.773840 11.108182 
0.001076 0.449851 0.053106 -0.845764 -0.511491 -3.675349 0.660180 17.507399 28.781548 11.135937 
0.001015 0.461250 -0.130897 -0.753032 -0.384897 -3.625353 0.708205 17.490055 28.789228 11.163685 
0.000954 0.379748 -0.306586 -0.642703 -0.255436 -3.574791 0.756211 17.472656 28.796883 11.191425 
0.000892 0.232102 -0.463091 -0.517464 -0.124023 -3.523671 0.804200 17.455202 28.804510 11.219158 
0.000829 0.044573 -0.590963 -0.380295 0.008363 -3.472002 0.852168 17.437695 28.812113 11.246884 
0.000765 -0.151462 -0.682684 -0.234399 0.140688 -3.419789 0.900116 17.420132 28.819689 11.274603 
0.000701 -0.309234 -0.733025 -0.083139 0.271869 -3.367040 0.948041 17.402514 28.827238 11.302314 
0.000637 -0.352606 -0.739266 0.070029 0.400789 -3.313764 0.995944 17.384842 28.834761 11.330017 
0.000572 -0.200945 -0.701261 0.221617 0.526301 -3.259968 1.043822 17.367115 28.842257 11.357714 
0.000506 0.075130 -0.621399 0.368174 0.647254 -3.205660 1.091675 17.349333 28.849726 11.385403 
0.000439 0.317136 -0.504450 0.506345 0.762500 -3.150847 1.139501 17.331497 28.857168 11.413084 
0.000372 0.464033 -0.357319 0.632935 0.870918 -3.095539 1.187299 17.313606 28.864584 11.440758 
0.000305 0.510199 -0.188699 0.744971 0.971434 -3.039742 1.235068 17.295662 28.871973 11.468425 
0.000237 0.464471 -0.008642 0.839767 1.063037 -2.983466 1.282807 17.277662 28.879335 11.496084 
0.000169 0.339368 0.171955 0.914981 1.144802 -2.926718 1.330514 17.259609 28.886671 11.523736 
0.000101 0.151518 0.341959 0.968677 1.215907 -2.869507 1.378189 17.241501 28.893980 11.551380 
0.000032 -0.071029 0.490657 0.999380 1.275652 -2.811841 1.425831 17.223339 28.901262 11.579017 
-0.000037 -0.270493 0.608450 1.006124 1.323467 -2.753729 1.473437 17.205122 28.908520 11.606646 
-0.000106 -0.336193 0.687536 0.988501 1.358930 -2.695180 1.521008 17.186852 28.915751 11.634267 
-0.000175 -0.191390 0.722510 0.946688 1.381765 -2.636202 1.568541 17.168528 28.922955 11.661880 
-0.000245 0.052057 0.710828 0.881468 1.391852 -2.576804 1.616036 17.150148 28.930132 11.689487 
-0.000315 0.277727 0.653059 0.794240 1.389218 -2.516995 1.663492 17.131716 28.937283 11.717087 
-0.000385 0.437620 0.552894 0.686997 1.374039 -2.456784 1.710907 17.113230 28.944407 11.744678 
-0.000455 0.515139 0.416888 0.562296 1.346625 -2.396181 1.758280 17.094690 28.951504 11.772263 
-0.000526 0.504343 0.253965 0.423199 1.307411 -2.335193 1.805610 17.076096 28.958574 11.799839 
-0.000596 0.403716 0.074739 0.273201 1.256943 -2.273831 1.852896 17.057447 28.965618 11.827408 
-0.000667 0.217676 -0.109270 0.116128 1.195863 -2.212104 1.900137 17.038746 28.972635 11.854969 
-0.000739 -0.031201 -0.286451 -0.043971 1.124894 -2.150021 1.947332 17.019991 28.979626 11.882523 
-0.000810 -0.266809 -0.445860 -0.202949 1.044824 -2.087592 1.994479 17.001183 28.986589 11.910069 
-0.000883 -0.340816 -0.577881 -0.356690 0.956489 -2.024826 2.041577 16.982321 28.993526 11.937606 
-0.000955 -0.220803 -0.674743 -0.501234 0.860765 -1.961733 2.088625 16.963406 29.000437 11.965136 
-0.001028 -0.015706 -0.730900 -0.632899 0.758544 -1.898322 2.135622 16.944437 29.007320 11.992658 
-0.001101 0.193219 -0.743259 -0.748387 0.650736 -1.834604 2.182567 16.925413 29.014177 12.020172 
-0.001175 0.363542 -0.711282 -0.844876 0.538246 -1.770588 2.229459 16.906338 29.021008 12.047679 
-0.001249 0.470539 -0.636971 -0.920087 0.421974 -1.706285 2.276296 16.887209 29.027811 12.075178 
-0.001324 0.495803 -0.524736 -0.972333 0.302805 -1.641704 2.323078 16.868027 29.034588 12.102670 
-0.001399 0.422984 -0.381179 -1.000545 0.181601 -1.576855 2.369802 16.848791 29.041338 12.130154 
