Sol Mercurio Venus Tierra Marte Jupiter Saturno Urano Neptuno Pluton
0.003796 -0.026582 0.204837 0.970814 0.076289 -0.860117 -9.843002 7.757975 -9.752227 -31.804077 
0.003857 0.248920 0.375016 0.987334 0.214562 -0.924835 -9.853052 7.789375 -9.724953 -31.801645 
0.003918 0.371163 0.521125 0.978371 0.350940 -0.989412 -9.862862 7.820750 -9.697670 -31.799192 
0.003979 0.314842 0.633680 0.944138 0.484243 -1.053838 -9.872432 7.852101 -9.670379 -31.796719 
0.004041 0.159295 0.705481 0.885548 0.613361 -1.118104 -9.881761 7.883428 -9.643078 -31.794224 
0.004102 -0.031399 0.732112 0.804181 0.737266 -1.182199 -9.890849 7.914731 -9.615768 -31.791706 
0.004163 -0.215566 0.712205 0.702227 0.855023 -1.246114 -9.899697 7.946008 -9.588450 -31.789167 
0.004224 -0.362178 0.647445 0.582414 0.965795 -1.309839 -9.908304 7.977261 -9.561124 -31.786608 
0.004285 -0.442401 0.542353 0.447913 1.068846 -1.373364 -9.916670 8.008489 -9.533788 -31.784027 
0.004346 -0.424474 0.403882 0.302235 1.163544 -1.436681 -9.924794 8.039692 -9.506443 -31.781425 
0.004406 -0.275558 0.240884 0.149119 1.249361 -1.499779 -9.932677 8.070869 -9.479090 -31.778801 
0.004467 0.003506 0.063507 -0.007575 1.325865 -1.562648 -9.940319 8.102022 -9.451728 -31.776155 
0.004527 0.283166 -0.117431 -0.163975 1.392722 -1.625279 -9.947719 8.133150 -9.424357 -31.773489 
0.004586 0.411123 -0.291060 -0.316294 1.449686 -1.687663 -9.954876 8.164252 -9.396978 -31.770802 
0.004646 0.391751 -0.447040 -0.460918 1.496596 -1.749790 -9.961792 8.195329 -9.369591 -31.768093 
0.004704 0.276415 -0.576092 -0.594488 1.533368 -1.811650 -9.968466 8.226380 -9.342195 -31.765364 
0.004763 0.108659 -0.670478 -0.713961 1.559992 -1.873234 -9.974897 8.257406 -9.314790 -31.762613 
0.004821 -0.076981 -0.724411 -0.816667 1.576521 -1.934533 -9.981087 8.288406 -9.287376 -31.759840 
0.004878 -0.248286 -0.734388 -0.900352 1.583068 -1.995537 -9.987033 8.319381 -9.259954 -31.757046 
0.004935 -0.368002 -0.699447 -0.963208 1.579798 -2.056237 -9.992737 8.350328 -9.232524 -31.754230 
0.004992 -0.386311 -0.621296 -1.003901 1.566926 -2.116624 -9.998198 8.381250 -9.205085 -31.751394 
0.005048 -0.245111 -0.504323 -1.021581 1.544709 -2.176688 -10.003416 8.412147 -9.177637 -31.748537 
0.005103 0.043395 -0.355433 -1.015898 1.513442 -2.236420 -10.008391 8.443016 -9.150181 -31.745659 
0.005158 0.309179 -0.183719 -0.986995 1.473455 -2.295810 -10.013124 8.473859 -9.122716 -31.742760 
0.005212 0.449225 0.000062 -0.935512 1.425107 -2.354851 -10.017612 8.504676 -9.095243 -31.739840 
0.005266 0.467071 0.184175 -0.862570 1.368788 -2.413532 -10.021858 8.535466 -9.067761 -31.736898 
0.005319 0.390098 0.356710 -0.769758 1.304908 -2.471844 -10.025861 8.566230 -9.040272 -31.733936 
0.005372 0.245488 0.506448 -0.659109 1.233905 -2.529779 -10.029620 8.596967 -9.012774 -31.730953 
0.005425 0.059600 0.623686 -0.533070 1.156232 -2.587327 -10.033135 8.627677 -8.985267 -31.727947 
0.005477 -0.136680 0.700945 -0.394466 1.072364 -2.644480 -10.036407 8.658360 -8.957752 -31.724920 
0.005529 -0.298085 0.733485 -0.246451 0.982792 -2.701228 -10.039436 8.689015 -8.930229 -31.721872 
0.005580 -0.351002 0.719580 -0.092450 0.888024 -2.757563 -10.042221 8.719645 -8.902699 -31.718803 
0.005631 -0.211951 0.660549 0.063901 0.788582 -2.813476 -10.044763 8.750246 -8.875159 -31.715714 
0.005682 0.062487 0.560555 0.218841 0.685003 -2.868957 -10.047060 8.780820 -8.847611 -31.712603 
0.005732 0.310150 0.426228 0.368561 0.577838 -2.923999 -10.049114 8.811367 -8.820056 -31.709471 
0.005782 0.463585 0.266148 0.509307 0.467651 -2.978593 -10.050924 8.841887 -8.792492 -31.706318 
0.005831 0.515525 0.090271 0.637477 0.355019 -3.032730 -10.052490 8.872378 -8.764920 -31.703144 
0.005880 0.474713 -0.090691 0.749728 0.240531 -3.086401 -10.053813 8.902843 -8.737340 -31.699949 
0.005929 0.353777 -0.265872 0.843078 0.124790 -3.139598 -10.054892 8.933278 -8.709752 -31.696733 
0.005977 0.169175 -0.424837 0.915008 0.008409 -3.192312 -10.055726 8.963686 -8.682157 -31.693497 
0.006025 -0.052037 -0.558117 0.963546 -0.107986 -3.244535 -10.056317 8.994066 -8.654552 -31.690239 
0.006072 -0.254963 -0.657703 0.987339 -0.223759 -3.296259 -10.056664 9.024418 -8.626941 -31.686960 
0.006118 -0.332662 -0.717469 0.985710 -0.338262 -3.347475 -10.056767 9.054741 -8.599321 -31.683661 
0.006164 -0.198889 -0.733542 0.958680 -0.450839 -3.398175 -10.056626 9.085036 -8.571693 -31.680342 
0.006209 0.043631 -0.704568 0.906971 -0.560824 -3.448351 -10.056242 9.115303 -8.544058 -31.677002 
0.006253 0.273019 -0.631883 0.831985 -0.667545 -3.497995 -10.055614 9.145541 -8.516415 -31.673641 
