Sol Mercurio Venus Tierra Marte Jupiter Saturno Urano Neptuno Pluton
-0.000157 -0.035489 -0.037563 -0.000192 -0.032795 0.123929 0.249693 -0.209245 -0.451801 0.626648 
-0.000157 -0.001810 -0.030937 -0.000189 -0.029700 0.123963 0.247987 -0.208943 -0.452573 0.618266 
-0.000156 0.032903 -0.022315 -0.000185 -0.026339 0.123979 0.246275 -0.208641 -0.453345 0.609883 
-0.000156 0.051541 -0.012256 -0.000180 -0.022746 0.123975 0.244557 -0.208338 -0.454116 0.601500 
-0.000155 0.053679 -0.001413 -0.000174 -0.018956 0.123953 0.242833 -0.208034 -0.454887 0.593116 
-0.000155 0.043629 0.009510 -0.000168 -0.015005 0.123912 0.241103 -0.207730 -0.455657 0.584732 
-0.000154 0.025529 0.019816 -0.000161 -0.010930 0.123852 0.239368 -0.207425 -0.456428 0.576348 
-0.000154 0.003039 0.028857 -0.000155 -0.006766 0.123774 0.237626 -0.207120 -0.457197 0.567963 
-0.000153 -0.020029 0.036079 -0.000148 -0.002549 0.123676 0.235879 -0.206814 -0.457967 0.559578 
-0.000152 -0.038730 0.041053 -0.000141 0.001687 0.123560 0.234126 -0.206507 -0.458735 0.551192 
-0.000152 -0.045646 0.043498 -0.000134 0.005908 0.123424 0.232367 -0.206199 -0.459504 0.542807 
-0.000151 -0.031414 0.043288 -0.000128 0.010085 0.123270 0.230603 -0.205891 -0.460272 0.534420 
-0.000150 0.002213 0.040459 -0.000122 0.014186 0.123098 0.228832 -0.205583 -0.461039 0.526034 
-0.000150 0.034553 0.035196 -0.000117 0.018186 0.122906 0.227057 -0.205273 -0.461807 0.517647 
-0.000149 0.054317 0.027822 -0.000112 0.022057 0.122696 0.225276 -0.204963 -0.462573 0.509259 
-0.000148 0.060579 0.018781 -0.000108 0.025778 0.122468 0.223489 -0.204653 -0.463340 0.500872 
-0.000147 0.055125 0.008610 -0.000105 0.029327 0.122220 0.221697 -0.204341 -0.464105 0.492484 
-0.000146 0.040157 -0.002085 -0.000103 0.032685 0.121954 0.219900 -0.204029 -0.464871 0.484095 
